% Model,EXAMPLE003 - Obs Gen.mph
% Version,COMSOL 5.3.0.223
% Date,"Oct 16 2018, 16:24"
% Dimension,1
% Nodes,153
% Expressions,1
% Description,Point graph
% X,Height
0,-999.999989621098
0.20000000000000004,-710.2311861280857
0.4000000000000001,-473.6774011379018
0.6000000000000001,-339.5695169691529
0.8000000000000002,-259.27586255318414
1,-207.0046381771572
1.2000000000000002,-170.64067185573938
1.4000000000000001,-144.177265488859
1.6000000000000003,-124.23009138289243
1.8000000000000003,-108.75530393141463
2,-96.39857660328177
2.2,-86.24103050791709
2.4000000000000004,-77.8529991506658
2.6,-70.7590522214735
2.8000000000000003,-64.71581504146539
3,-59.51791424756658
3.2000000000000006,-54.987318424251086
3.400000000000001,-51.025488459573666
3.6000000000000005,-47.52987438182665
3.8000000000000007,-44.439016196985094
4,-41.66863288402922
4.2,-39.17031753169109
4.4,-36.922891407349056
4.6000000000000005,-34.87309514818093
4.800000000000001,-32.991397775864684
5,-31.281507535922625
5.2,-29.708186425971505
5.4,-28.252125479520384
5.6000000000000005,-26.908280183393973
5.800000000000001,-25.66538642553329
6,-24.50784025595143
6.2,-23.42847730520903
6.400000000000001,-22.42394545923787
6.600000000000001,-21.483325377918085
6.800000000000002,-20.600344512932022
7.000000000000001,-19.773168326612467
7.200000000000001,-18.994890359190553
7.400000000000001,-18.261194717823948
7.600000000000001,-17.56895771938549
7.800000000000002,-16.914945741856368
8,-16.296044249389684
8.200000000000001,-15.709611641439135
8.4,-15.153267553541628
8.6,-14.623977369023876
8.8,-14.120208994377936
9,-13.640575317409919
9.200000000000001,-13.18353841247033
9.4,-12.747691442930641
9.600000000000001,-12.33031974198584
9.8,-11.93075334608029
10,-11.54844543143807
0,-999.9999920246657
0.20000000000000004,-833.5031495582904
0.4000000000000001,-571.0889230430769
0.6000000000000001,-402.4624301204659
0.8000000000000002,-300.68253353881335
1,-235.62331684331994
1.2000000000000002,-191.3789104460254
1.4000000000000001,-159.8243753737083
1.6000000000000003,-136.467746285039
1.8000000000000003,-118.62532647746194
2,-104.54302561897543
2.2,-93.03423022559187
2.4000000000000004,-83.63366185694888
2.6,-75.72408380033279
2.8000000000000003,-69.03097184110496
3,-63.311111614615335
3.2000000000000006,-58.34511475427884
3.400000000000001,-54.02742388976678
3.6000000000000005,-50.23515107423226
3.8000000000000007,-46.902454598173435
4,-43.92175459982328
4.2,-41.23832345195644
4.4,-38.836566569712794
4.6000000000000005,-36.64673877571845
4.800000000000001,-34.63479281424975
5,-32.816910298560046
5.2,-31.146056100020193
5.4,-29.599354247254574
5.6000000000000005,-28.175482292774557
5.800000000000001,-26.862030135485938
6,-25.639097379203225
6.2,-24.4997669817818
6.400000000000001,-23.44261193494046
6.600000000000001,-22.453245087068918
6.800000000000002,-21.52459551446617
7.000000000000001,-20.657082871392895
7.200000000000001,-19.84134581072261
7.400000000000001,-19.07247792406053
7.600000000000001,-18.34847152966368
7.800000000000002,-17.665476342943798
8,-17.019491354399396
8.200000000000001,-16.407514618321905
8.4,-15.826858653216425
8.6,-15.27528726467664
8.8,-14.750743331492732
9,-14.251282906534879
9.200000000000001,-13.775173899101322
9.4,-13.320840582025205
9.600000000000001,-12.886395614294276
9.8,-12.470774499759308
10,-12.072988848517042
0,-999.9999919671144
0.20000000000000004,-886.7926130852761
0.4000000000000001,-718.028029197719
0.6000000000000001,-582.007613817857
0.8000000000000002,-446.7081003703488
1,-351.186660874502
1.2000000000000002,-283.2108414943334
1.4000000000000001,-232.79356220548564
1.6000000000000003,-194.82384292978494
1.8000000000000003,-165.69200154269492
2,-143.2518660933987
2.2,-125.53861667866173
2.4000000000000004,-111.2588833488063
2.6,-99.51782052797009
2.8000000000000003,-89.72353304176572
3,-81.49272435197597
3.2000000000000006,-74.43831684410928
3.400000000000001,-68.39706711558603
3.6000000000000005,-63.171029379939014
3.8000000000000007,-58.65586092492081
4,-54.64712204571309
4.2,-51.06527291212437
4.4,-47.91247440295754
4.6000000000000005,-45.04840024347323
4.800000000000001,-42.421283618363944
5,-40.08833753890484
5.2,-37.9546288079915
5.4,-35.9829435210336
5.6000000000000005,-34.18404581255863
5.800000000000001,-32.53812882848584
6,-31.008457274750434
6.2,-29.588557629432465
6.400000000000001,-28.282821126681903
6.600000000000001,-27.062823603947294
6.800000000000002,-25.91813138028598
7.000000000000001,-24.8579512279824
7.200000000000001,-23.862314104554414
7.400000000000001,-22.923757641483466
7.600000000000001,-22.04575772714168
7.800000000000002,-21.221216937779786
8,-20.44190993906203
8.200000000000001,-19.703208569918694
8.4,-19.001093195283648
8.6,-18.33800957331977
8.8,-17.708994153392442
9,-17.109212053119105
9.200000000000001,-16.536067624524197
9.4,-15.987261120907203
9.600000000000001,-15.465667353762091
9.8,-14.967965562225238
10,-14.49079086222782
