% Model,EXAMPLE003 - Obs Gen.mph
% Version,COMSOL 5.3.0.223
% Date,"Oct 16 2018, 16:23"
% Dimension,1
% Nodes,153
% Expressions,1
% Description,Point graph
% X,Height
0,5.0088031722239634E-5
0.20000000000000004,0.4778647210250675
0.4000000000000001,0.853550988299423
0.6000000000000001,1.198059223129322
0.8000000000000002,1.5299088908367064
1,1.8520144878910738
1.2000000000000002,2.1608104966410746
1.4000000000000001,2.4593977215272567
1.6000000000000003,2.751084616709587
1.8000000000000003,3.039906732926312
2,3.32333269344387
2.2,3.5933759310937674
2.4000000000000004,3.8605097275721256
2.6,4.11652557499842
2.8000000000000003,4.366195890232127
3,4.61071711418759
3.2000000000000006,4.846985023814199
3.400000000000001,5.079885304680953
3.6000000000000005,5.3084687701177025
3.8000000000000007,5.538049564376424
4,5.762004102788154
4.2,5.979329963402558
4.4,6.197973310633209
4.6000000000000005,6.408222530358776
4.800000000000001,6.606308527667304
5,6.808726163685996
5.2,7.005116237851938
5.4,7.191642294098299
5.6000000000000005,7.375820760060048
5.800000000000001,7.558706963593398
6,7.733920988352461
6.2,7.90318737960316
6.400000000000001,8.073500216384977
6.600000000000001,8.237815420015782
6.800000000000002,8.394720758035046
7.000000000000001,8.553552961343636
7.200000000000001,8.707622158645068
7.400000000000001,8.855652481605691
7.600000000000001,9.004187016438125
7.800000000000002,9.152421014616552
8,9.297402651324616
8.200000000000001,9.438230997821817
8.4,9.573947296261709
8.6,9.710498758287667
8.8,9.846031782780651
9,9.977754507440872
9.200000000000001,10.104886821773684
9.4,10.226613259004091
9.600000000000001,10.349866192494561
9.8,10.47278530115503
10,10.592517524290912
0,-0.29444830505676034
0.20000000000000004,0.08477712495347234
0.4000000000000001,0.5387825438469829
0.6000000000000001,0.927791082885987
0.8000000000000002,1.2811507390702026
1,1.61228783600742
1.2000000000000002,1.9293705031884212
1.4000000000000001,2.234365685889639
1.6000000000000003,2.5297083572324297
1.8000000000000003,2.8173269635176634
2,3.09782886422294
2.2,3.368370176121127
2.4000000000000004,3.6338934243607124
2.6,3.890767816195684
2.8000000000000003,4.141105608981954
3,4.3860135544382395
3.2000000000000006,4.623370676126504
3.400000000000001,4.85649111985631
3.6000000000000005,5.085077314338271
3.8000000000000007,5.313002012460988
4,5.535210363203813
4.2,5.751087314624481
4.4,5.967067651851732
4.6000000000000005,6.175411411103671
4.800000000000001,6.37325601757488
5,6.573720317868625
5.2,6.76846157269928
5.4,6.954421383591258
5.6000000000000005,7.137808239925825
5.800000000000001,7.319388225990764
6,7.493887586789594
6.2,7.662818541476435
6.400000000000001,7.8320996400294
6.600000000000001,7.9956936012988145
6.800000000000002,8.15239447416305
7.000000000000001,8.310427323452885
7.200000000000001,8.463882838953385
7.400000000000001,8.611644977909227
7.600000000000001,8.759644408004474
7.800000000000002,8.907140156818594
8,9.051477385662476
8.200000000000001,9.19185915563192
8.4,9.32744185436385
8.6,9.463671046881394
8.8,9.598857811349948
9,9.730478802227216
9.200000000000001,9.857849617946002
9.4,9.980256924268627
9.600000000000001,10.103979614501268
9.8,10.227331998104994
10,10.34774768066371
0,-0.28607022098126045
0.20000000000000004,-2.2060552645244424
0.4000000000000001,-0.9716721941691597
0.6000000000000001,-0.361736185653605
0.8000000000000002,0.1248400506244085
1,0.538122165232302
1.2000000000000002,0.9073436039286342
1.4000000000000001,1.2487026972771709
1.6000000000000003,1.566058406931914
1.8000000000000003,1.8618615918817305
2,2.1439091261852283
2.2,2.4234712501494116
2.4000000000000004,2.6890934798498023
2.6,2.9509372823237623
2.8000000000000003,3.2045848442059377
3,3.450269105848225
3.2000000000000006,3.6904472707857128
3.400000000000001,3.922538031996492
3.6000000000000005,4.14852772565899
3.8000000000000007,4.366796468904699
4,4.5794468438999925
4.2,4.787235507080156
4.4,4.989710677936188
4.6000000000000005,5.18780597324664
4.800000000000001,5.3820047577441965
5,5.571748858066883
5.2,5.757143336804438
5.4,5.938199031902736
5.6000000000000005,6.115782286369109
5.800000000000001,6.289785877612752
6,6.459523687170288
6.2,6.625565055688121
6.400000000000001,6.789375474325787
6.600000000000001,6.949391276840133
6.800000000000002,7.105353095167466
7.000000000000001,7.260212253039633
7.200000000000001,7.41189417305943
7.400000000000001,7.560071336716989
7.600000000000001,7.707306327412233
7.800000000000002,7.853274566176127
8,7.996920796207174
8.200000000000001,8.137975673292441
8.4,8.276160678248878
8.6,8.413942819666564
8.8,8.550578162266564
9,8.685010943564109
9.200000000000001,8.81700502649041
9.4,8.94631702179538
9.600000000000001,9.075657663437209
9.8,9.204283916798062
10,9.331121348172378
