% Model,EXAMPLE003 - Obs Gen.mph
% Version,COMSOL 5.3.0.223
% Date,"Oct 16 2018, 16:24"
% Dimension,1
% Nodes,153
% Expressions,1
% Description,Point graph
% X,Height
0,-10.304326411946896
0.20000000000000004,-9.997797085508854
0.4000000000000001,-9.761302008838179
0.6000000000000001,-9.536664224277235
0.8000000000000002,-9.319281578019645
1,-9.10693957551889
1.2000000000000002,-8.89786035198048
1.4000000000000001,-8.692339120886071
1.6000000000000003,-8.490888823352805
1.8000000000000003,-8.294053713810644
2,-8.10087720932884
2.2,-7.909458542401104
2.4000000000000004,-7.721960136744643
2.6,-7.536557280192979
2.8000000000000003,-7.354085367064611
3,-7.174645422761805
3.2000000000000006,-6.997581237331407
3.400000000000001,-6.823632790237677
3.6000000000000005,-6.6525000843443705
3.8000000000000007,-6.484867402341221
4,-6.31971452068969
4.2,-6.156832411639668
4.4,-5.996976809051424
4.6000000000000005,-5.839111855119872
4.800000000000001,-5.6828753518287645
5,-5.529626570365709
5.2,-5.37850900394965
5.4,-5.2292373987142815
5.6000000000000005,-5.082180628000144
5.800000000000001,-4.937419596768522
6,-4.794642364631896
6.2,-4.653837983301878
6.400000000000001,-4.515152697675218
6.600000000000001,-4.378485950311761
6.800000000000002,-4.243820891211114
7.000000000000001,-4.110951077423541
7.200000000000001,-3.980051542208818
7.400000000000001,-3.851158033251312
7.600000000000001,-3.7237295817731386
7.800000000000002,-3.5978682511911275
8,-3.473806105645405
8.200000000000001,-3.351611440889246
8.4,-3.2313537371118084
8.6,-3.1121391515570584
8.8,-2.994253667722546
9,-2.8780694021384168
9.200000000000001,-2.76366350727808
9.4,-2.6511140806434463
9.600000000000001,-2.5392397128211064
9.8,-2.428383187730865
10,-2.319005783742334
0,-10.297611386676731
0.20000000000000004,-10.327948162811351
0.4000000000000001,-10.018242264185574
0.6000000000000001,-9.75793018902882
0.8000000000000002,-9.521061046311562
1,-9.296605623654308
1.2000000000000002,-9.079286366394657
1.4000000000000001,-8.868121797515283
1.6000000000000003,-8.663057557547372
1.8000000000000003,-8.464243925661474
2,-8.26990843684694
2.2,-8.076842751495894
2.4000000000000004,-7.88859466168057
2.6,-7.702159090556937
2.8000000000000003,-7.5188799295903275
3,-7.338938461679767
3.2000000000000006,-7.1612453095747375
3.400000000000001,-6.9870318284216415
3.6000000000000005,-6.8158331457023325
3.8000000000000007,-6.648766486763158
4,-6.484093097858246
4.2,-6.321526873047101
4.4,-6.162536675224595
4.6000000000000005,-6.0052121155550475
4.800000000000001,-5.848939601939995
5,-5.6963816691434355
5.2,-5.545854145436291
5.4,-5.3968173560972055
5.6000000000000005,-5.250170258264908
5.800000000000001,-5.106045686972482
6,-4.963714359333848
6.2,-4.823274382184439
6.400000000000001,-4.685268878010906
6.600000000000001,-4.549181475596797
6.800000000000002,-4.414919834004549
7.000000000000001,-4.282744395631477
7.200000000000001,-4.1524763398421705
7.400000000000001,-4.024083205364737
7.600000000000001,-3.897312883595405
7.800000000000002,-3.7722112151055143
8,-3.6488624909589706
8.200000000000001,-3.527283741444953
8.4,-3.4074926656849636
8.6,-3.2888596800201286
8.8,-3.1715708179553825
9,-3.055860945724187
9.200000000000001,-2.9417640054919536
9.4,-2.829314411172512
9.600000000000001,-2.717655453654322
9.8,-2.6070276205008014
10,-2.4977476779001195
0,-10.289751598806852
0.20000000000000004,-12.063868846403425
0.4000000000000001,-11.148991178766664
0.6000000000000001,-10.730360093476389
0.8000000000000002,-10.3775674567681
1,-10.088316810781595
1.2000000000000002,-9.834982820709604
1.4000000000000001,-9.599612991315286
1.6000000000000003,-9.377425159211361
1.8000000000000003,-9.164614104376746
2,-8.960695426144971
2.2,-8.761505606789012
2.4000000000000004,-8.569235324317859
2.6,-8.380313542064366
2.8000000000000003,-8.195324674824644
3,-8.014945757538694
3.2000000000000006,-7.8368602866395465
3.400000000000001,-7.663391963765531
3.6000000000000005,-7.493945861296036
3.8000000000000007,-7.3305688833450455
4,-7.169269064364103
4.2,-7.009729383260832
4.4,-6.8556655631030194
4.6000000000000005,-6.7023952683501475
4.800000000000001,-6.548736028796021
5,-6.401021324782374
5.2,-6.255037348828596
5.4,-6.109547048376074
5.6000000000000005,-5.96699989584748
5.800000000000001,-5.827511651003259
6,-5.689102443750316
6.2,-5.552224850591814
6.400000000000001,-5.418558245502303
6.600000000000001,-5.2862252910689245
6.800000000000002,-5.154881094524666
7.000000000000001,-5.026385430946023
7.200000000000001,-4.899259040016646
7.400000000000001,-4.773212806819416
7.600000000000001,-4.6492235788597736
7.800000000000002,-4.527050329844018
8,-4.406147840999242
8.200000000000001,-4.286321811569849
8.4,-4.167385438406668
8.6,-4.050008875325251
8.8,-3.933886087147842
9,-3.818619309977289
9.200000000000001,-3.70406973082682
9.4,-3.590102237660764
9.600000000000001,-3.4774366763876685
9.8,-3.3658096731085108
10,-3.2548647006827025
